case_index,review_label,notes,suggested_labels,label,prediction,negative_type,negative_subtype,candidate_action_type,distance_px,distance_bucket,candidate_in_ui_element,same_element_as_gt,instruction,candidate_action_text,gt_action_text,candidate_element_text,candidate_element_type,gt_element_text,gt_element_type,image,sample_id,pair_id,candidate_action_json,gt_action_json
33,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,random_coordinate,unknown,click,,unknown,,,Go to the search bar on walmart.com and search for macbook pro,"click(point=[0.495635313322821, 0.10427441331755341])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000831_image_encoded.png,14961571056202924159.423-623.Go to the search bar on walmart.com and search for macbook pro:0:random_coordinate:rejected,14961571056202924159.423-623.Go to the search bar on walmart.com and search for macbook pro:0:random_coordinate,"{""type"": ""click"", ""point"": [0.495635313322821, 0.10427441331755341], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
34,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,random_coordinate,unknown,click,,unknown,,,Go to chrome search bar and search & open bestbuy.com,"click(point=[0.2727799824347535, 0.1550586586169542])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000868_image_encoded.png,7356588161249660798.236-458.Go to chrome search bar and search & open bestbuy.com:2:random_coordinate:rejected,7356588161249660798.236-458.Go to chrome search bar and search & open bestbuy.com:2:random_coordinate,"{""type"": ""click"", ""point"": [0.2727799824347535, 0.1550586586169542], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
35,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,Go to chrome search bar and search & open bestbuy.com,"click(point=[0.2901688516139984, 0.2566611529924931])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000868_image_encoded.png,7356588161249660798.236-458.Go to chrome search bar and search & open bestbuy.com:2:shifted_coordinate:rejected,7356588161249660798.236-458.Go to chrome search bar and search & open bestbuy.com:2:shifted_coordinate,"{""type"": ""click"", ""point"": [0.2901688516139984, 0.2566611529924931], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
36,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,Check all product related to lenovo thinkpad then open the third item,"swipe(start_point=[0.5004663467407227, 0.7766481637954712], end_point=[0.5151754021644592, 0.21654242277145386])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000938_image_encoded.png,2675402393294142891.1005-1177.Check all product related to lenovo thinkpad then open the third item:0:shifted_coordinate:rejected,2675402393294142891.1005-1177.Check all product related to lenovo thinkpad then open the third item:0:shifted_coordinate,"{""type"": ""swipe"", ""point"": [0.7226885689629449, 0.7766481637954712], ""start_point"": [0.5004663467407227, 0.7766481637954712], ""end_point"": [0.5151754021644592, 0.21654242277145386], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
37,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,Check all product related to lenovo thinkpad then open the third item,"swipe(start_point=[0.41801461577415466, 0.8475964069366455], end_point=[0.5332239866256714, 0.44958558678627014])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000939_image_encoded.png,2675402393294142891.1005-1177.Check all product related to lenovo thinkpad then open the third item:1:shifted_coordinate:rejected,2675402393294142891.1005-1177.Check all product related to lenovo thinkpad then open the third item:1:shifted_coordinate,"{""type"": ""swipe"", ""point"": [0.41801461577415466, 0.7423332490419087], ""start_point"": [0.41801461577415466, 0.8475964069366455], ""end_point"": [0.5332239866256714, 0.44958558678627014], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
38,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,wrong_action_type,unknown,click,,unknown,,,Check all product related to lenovo thinkpad then open the third item,"click(point=[0.41801461577415466, 0.8475964069366455])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000939_image_encoded.png,2675402393294142891.1005-1177.Check all product related to lenovo thinkpad then open the third item:1:wrong_action_type:rejected,2675402393294142891.1005-1177.Check all product related to lenovo thinkpad then open the third item:1:wrong_action_type,"{""type"": ""click"", ""point"": [0.41801461577415466, 0.8475964069366455], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
39,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,random_coordinate,unknown,click,,unknown,,,item Add to cart and go to View in Cart,"click(point=[0.6800760205544888, 0.8305088435561795])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000951_image_encoded.png,2675402393294142891.1193-1375.item Add to cart and go to View in Cart :1:random_coordinate:rejected,2675402393294142891.1193-1375.item Add to cart and go to View in Cart :1:random_coordinate,"{""type"": ""click"", ""point"": [0.6800760205544888, 0.8305088435561795], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
40,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,item Add to cart and go to View in Cart,"click(point=[0.3502178059683906, 0.8924281001091003])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000951_image_encoded.png,2675402393294142891.1193-1375.item Add to cart and go to View in Cart :1:shifted_coordinate:rejected,2675402393294142891.1193-1375.item Add to cart and go to View in Cart :1:shifted_coordinate,"{""type"": ""click"", ""point"": [0.3502178059683906, 0.8924281001091003], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
41,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,search for bestbuy.com then choose canada as country,"click(point=[0.25964127646552193, 0.3166261315345764])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000953_image_encoded.png,2675402393294142891.373-673.search for bestbuy.com then choose canada as country:0:shifted_coordinate:rejected,2675402393294142891.373-673.search for bestbuy.com then choose canada as country:0:shifted_coordinate,"{""type"": ""click"", ""point"": [0.25964127646552193, 0.3166261315345764], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
42,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,random_coordinate,unknown,click,,unknown,,,search for bestbuy.com then choose canada as country,"click(point=[0.4388904510595606, 0.47386696799641004])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000956_image_encoded.png,2675402393294142891.373-673.search for bestbuy.com then choose canada as country:3:random_coordinate:rejected,2675402393294142891.373-673.search for bestbuy.com then choose canada as country:3:random_coordinate,"{""type"": ""click"", ""point"": [0.4388904510595606, 0.47386696799641004], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
43,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,search for bestbuy.com then choose canada as country,"click(point=[0.17900311946868896, 0.28420387286888926])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000956_image_encoded.png,2675402393294142891.373-673.search for bestbuy.com then choose canada as country:3:shifted_coordinate:rejected,2675402393294142891.373-673.search for bestbuy.com then choose canada as country:3:shifted_coordinate,"{""type"": ""click"", ""point"": [0.17900311946868896, 0.28420387286888926], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
44,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,"Go to the search bar, then type ""costco.com"" and search it","click(point=[0.39345596896277535, 0.05472679063677788])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000970_image_encoded.png,"3622763116101005411.1034-1189.Go to the search bar, then type ""costco.com"" and search it:0:shifted_coordinate:rejected","3622763116101005411.1034-1189.Go to the search bar, then type ""costco.com"" and search it:0:shifted_coordinate","{""type"": ""click"", ""point"": [0.39345596896277535, 0.05472679063677788], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
45,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,type costco.com on google chrome search bar,"click(point=[0.39345596896277535, 0.05472679063677788])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000987_image_encoded.png,3622763116101005411.1034-1143.type costco.com on google chrome search bar:0:shifted_coordinate:rejected,3622763116101005411.1034-1143.type costco.com on google chrome search bar:0:shifted_coordinate,"{""type"": ""click"", ""point"": [0.39345596896277535, 0.05472679063677788], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
